Mouse,Genotype,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
2831,Disease,822.75,189,633.75,74.125,114.875,181,452.75,255.125,567.625
2837,Disease,481.625,129.375,352.25,36.125,93.25,63.5,288.75,99.625,382
2839,Control,577.125,152.75,424.375,49.75,103,114.5,309.875,164.25,412.875
2849,Disease,778.125,207.25,570.875,61.625,145.625,126.625,444.25,188.25,589.875
2851,Control,1041.25,227.25,814,69.125,158.125,211.625,602.375,280.75,760.5
2855,Control,1001.375,285.875,715.5,80,205.875,146.125,569.375,226.125,775.25
2936,Disease,880.5,300.125,580.375,70.25,229.875,104.625,475.75,174.875,705.625
2938,Disease,972,168.25,803.75,49.375,118.875,185.625,618.125,235,737
2940,Disease,1133.375,350,783.375,121.625,228.375,194.375,589,316,817.375
2942,Control,862.125,152.5,709.625,56.625,95.875,186.5,523.125,243.125,619
2956,Control,979,283.25,695.75,114.625,168.625,199.25,496.5,313.875,665.125
2968,Control,908.875,136.125,772.75,36.125,100,134.75,638,170.875,738
